variable,value,min,max,unit,type,devices,param,constraint,reason
M7_w,4u,0.13,20.0,um,float,M7,w,free,电流镜参考臂，自由变量
M7_l,0.5u,0.13,10.0,um,float,M7,l,free,电流镜参考臂，自由变量
M7_m,1,1,20,,int,M7,m,free,电流镜参考臂，自由变量
M3_w,4u,0.13,20.0,um,float,M3,w,=M7_w,电流镜镜像联动，按初始比例随参考臂缩放（非独立变量）
M3_l,0.5u,0.13,10.0,um,float,M3,l,=M7_l,电流镜镜像联动，按初始比例随参考臂缩放（非独立变量）
M3_m,1,1,20,,int,M3,m,=M7_m,电流镜镜像联动，按初始比例随参考臂缩放（非独立变量）
M4_w,4u,0.13,20.0,um,float,M4,w,=M7_w,电流镜镜像联动，按初始比例随参考臂缩放（非独立变量）
M4_l,0.5u,0.13,10.0,um,float,M4,l,=M7_l,电流镜镜像联动，按初始比例随参考臂缩放（非独立变量）
M4_m,1,1,20,,int,M4,m,=M7_m,电流镜镜像联动，按初始比例随参考臂缩放（非独立变量）
M1_w,2u,0.13,20.0,um,float,M1,w,free,输入对管（差分对）各管强制同尺寸，合并为单变量
M1_l,0.5u,0.13,10.0,um,float,M1,l,free,输入对管（差分对）各管强制同尺寸，合并为单变量
M1_m,1,1,20,,int,M1,m,free,输入对管（差分对）各管强制同尺寸，合并为单变量
M2_w,2u,0.13,20.0,um,float,M2,w,=M1_w,匹配联动，强制与首器件同尺寸（非独立变量）
M2_l,0.5u,0.13,10.0,um,float,M2,l,=M1_l,匹配联动，强制与首器件同尺寸（非独立变量）
M2_m,1,1,20,,int,M2,m,=M1_m,匹配联动，强制与首器件同尺寸（非独立变量）
M0_w,4u,0.13,20.0,um,float,M0,w,free,尾电流源成员，保留为独立变量
M0_l,0.5u,0.13,10.0,um,float,M0,l,free,尾电流源成员，保留为独立变量
M0_m,2,1,20,,int,M0,m,free,尾电流源成员，保留为独立变量
M5_w,8u,0.13,20.0,um,float,M5,w,free,匹配器件各管强制同尺寸，合并为单变量
M5_l,0.5u,0.13,10.0,um,float,M5,l,free,匹配器件各管强制同尺寸，合并为单变量
M5_m,2,1,20,,int,M5,m,free,匹配器件各管强制同尺寸，合并为单变量
M6_w,8u,0.13,20.0,um,float,M6,w,=M5_w,匹配联动，强制与首器件同尺寸（非独立变量）
M6_l,0.5u,0.13,10.0,um,float,M6,l,=M5_l,匹配联动，强制与首器件同尺寸（非独立变量）
M6_m,2,1,20,,int,M6,m,=M5_m,匹配联动，强制与首器件同尺寸（非独立变量）
RC1_value,1k,,,ohm,float,RC1,value,free,无源器件（RC/去耦，用途待确认）成员，保留为独立变量
CC1_value,1p,,,F,float,CC1,value,free,无源器件（RC/去耦，用途待确认）成员，保留为独立变量
CDEC_value,10p,,,F,float,CDEC,value,free,无源器件（RC/去耦，用途待确认）成员，保留为独立变量
